Date,Killed,Injured
2/26/22,64,176
2/27/22,102,304
2/28/22,142,408
3/1/22,227,525
3/2/22,249,553
3/3/22,331,675
3/4/22,351,707
3/5/22,364,759
3/6/22,406,801
3/7/22,474,861
3/8/22,516,908
3/9/22,549,957
3/10/22,564,982
3/11/22,579,1002
3/12/22,596,1067
3/13/22,636,1125
3/14/22,691,1143
3/15/22,726,1174
3/16/22,780,1252
3/17/22,816,1333
3/18/22,847,1399
3/19/22,902,1459
3/20/22,925,1496
3/21/22,953,1557
3/22/22,977,1594
3/23/22,1035,1650
3/24/22,1081,1707
3/25/22,1104,1754
3/26/22,1119,1790
3/27/22,1151,1824
3/28/22,1179,1860
3/29/22,1189,1901
3/30/22,1232,1935
3/31/22,1276,1981
4/1/22,1325,2017
4/2/22,1417,2038
4/3/22,1430,2097
4/4/22,1480,2195
4/5/22,1563,2213
4/6/22,1611,2227
4/7/22,1626,2267
4/8/22,1766,2383
4/9/22,1793,2439
4/10/22,1842,2493
4/11/22,1892,2558
4/12/22,1932,2589
4/13/22,1964,2613
4/14/22,1982,2651
4/17/22,2072,2818
4/18/22,2104,2862
4/19/22,2224,2897
4/20/22,2345,2919
4/21/22,2435,2946
4/24/22,2665,3053
4/25/22,2729,3111
4/26/22,2787,3152
4/27/22,2829,3180
4/28/22,2899,3235
5/1/22,3153,3316
5/2/22,3193,3353
5/3/22,3238,3397
5/4/22,3280,3451
5/5/22,3309,3493
5/8/22,3381,3680
5/9/22,3459,3713
5/10/22,3496,3760
5/11/22,3541,3785
5/12/22,3573,3816
5/15/22,3668,3896
5/16/22,3752,4062
5/17/22,3778,4186
5/18/22,3811,4278
5/19/22,3838,4351
5/22/22,3930,4532
5/23/22,3942,4591
5/24/22,3974,4654
5/25/22,3998,4693