equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged by Bayraktar TB2,destroyed,destroyed by Bayraktar TB2,sunk
Tanks,T-64BV,,the Soviet Union,18,,,3.0,,,2.0,,1.0,,12.0,,
Tanks,T-72A,,the Soviet Union,15,,,9.0,,,,,,,6.0,,
Tanks,T-72AV,,the Soviet Union,7,,,2.0,,,,,1.0,,4.0,,
Tanks,T-72B,,the Soviet Union,126,3.0,,40.0,2.0,1.0,2.0,3.0,4.0,,71.0,,
Tanks,T-72B Obr. 1989,,Russia,49,3.0,1.0,13.0,,1.0,1.0,,3.0,,27.0,,
Tanks,T-72BA,,Russia,4,,,3.0,,,1.0,,,,,,
Tanks,T-72B3,,Russia,113,8.0,,48.0,1.0,,3.0,2.0,1.0,,50.0,,
Tanks,T-72B3 Obr. 2016,,Russia,100,4.0,2.0,45.0,,,,,5.0,,44.0,,
Tanks,T-80BV,,the Soviet Union,30,1.0,1.0,11.0,,,,5.0,,,12.0,,
Tanks,T-80U,,Russia,68,14.0,2.0,22.0,,2.0,,,2.0,,26.0,,
Tanks,T-80UK,,Russia,2,,1.0,1.0,,,,,,,,,
Tanks,T-80UE-1,,Russia,5,,,4.0,,,,,,,1.0,,
Tanks,T-80UM2,,Russia,1,,,,,,,,,,1.0,,
Tanks,T-80BVM,,Russia,25,1.0,,15.0,,,,,,,9.0,,
Tanks,T-90A,,Russia,19,2.0,2.0,9.0,,,,,,,6.0,,
Tanks,T-90M,,Russia,1,,,,,,,,,,1.0,,
Tanks,Unknown tank,,Russia,110,2.0,,3.0,,,14.0,,,,91.0,,
Armoured Fighting Vehicles,BRM-1K reconnaissance vehicle,,the Soviet Union,9,,,1.0,,,,,,,8.0,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,107,16.0,,52.0,,,,,,,39.0,,
Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,,the Soviet Union,80,9.0,,48.0,,,,,,,23.0,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,5,,,,,,,,,,4.0,1.0,
Armoured Fighting Vehicles,MT-LBM 6MB,,the Soviet Union,2,1.0,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LB Ambulance,,the Soviet Union,2,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,12,1.0,,5.0,,,,,,,6.0,,
Armoured Fighting Vehicles,1V13(M) battery fire control center,,the Soviet Union,10,1.0,2.0,5.0,,,,,,,2.0,,
Armoured Fighting Vehicles,1V14 battery command and forward observer vehicle,,the Soviet Union,5,1.0,,3.0,,,,,1.0,,,,
Armoured Fighting Vehicles,1V119 artillery fire direction vehicle,,the Soviet Union,7,,,5.0,,,,,,,2.0,,
Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,,Russia,3,,,1.0,,,,,1.0,,1.0,,
Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,,Russia,2,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,,the Soviet Union,1,,,1.0,,,,,,,,,
Armoured Fighting Vehicles,TZM-T reloader vehicle (for TOS-1A),,Russia,7,,2.0,4.0,,,,,,,1.0,,
Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,,the Soviet Union,22,,,1.0,,,,,,,21.0,,
Armoured Fighting Vehicles,Unknown BTR-80/BTR-82A,,Russia,21,2.0,,,,,,1.0,,,18.0,,
Armoured Fighting Vehicles,Unknown AFV,,Russia,75,3.0,,2.0,,,3.0,,,,64.0,3.0,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,46,1.0,,18.0,,,1.0,1.0,,,25.0,,
Infantry Fighting Vehicles,BMP-1AM,,Russia,4,1.0,,,,,,1.0,,,2.0,,
Infantry Fighting Vehicles,BMP-2,,the Soviet Union,266,23.0,,57.0,,,1.0,6.0,5.0,,174.0,,
Infantry Fighting Vehicles,BMP-2K,,the Soviet Union,1,1.0,,,,,,,,,,,
Infantry Fighting Vehicles,BMP-3,,Russia,96,1.0,,34.0,,,1.0,,4.0,,56.0,,
Infantry Fighting Vehicles,BMO-T,,Russia,1,,,,,,,,,,1.0,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,100,6.0,,37.0,1.0,2.0,1.0,1.0,1.0,,49.0,2.0,
Infantry Fighting Vehicles,BMD-2,with RP-337VM1 jammer,the Soviet Union,2,,,1.0,,,,,,,1.0,,
Infantry Fighting Vehicles,BMD-2,with RP-377VM1 jammer,the Soviet Union,1,,,1.0,,,,,,,,,
Infantry Fighting Vehicles,BMD-4M,,Russia,43,1.0,,10.0,,,,,,,32.0,,
Infantry Fighting Vehicles,BMD-4M,with RP-337VM1 jammer,Russia,1,,,1.0,,,,,,,,,
Infantry Fighting Vehicles,BTR-82A,,Russia,161,10.0,,54.0,,,5.0,1.0,3.0,,88.0,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,22,1.0,,,,,2.0,1.0,,,18.0,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,1,,,,,,,,,,1.0,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,56,6.0,,26.0,,,1.0,,2.0,,21.0,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,43,7.0,,21.0,,,,,1.0,,14.0,,
Armoured Personnel Carriers,BTR-MDM 'Rakushka',,Russia,10,,,7.0,,,1.0,,,,2.0,,
Mine-Resistant Ambush Protected,KamAZ-63968 'Typhoon',,Russia,14,2.0,,3.0,,,1.0,,,,8.0,,
Mine-Resistant Ambush Protected,K-53949 'Typhoon-K',,Russia,8,1.0,,2.0,,,,,,,5.0,,
Mine-Resistant Ambush Protected,K-53949 'Linza',,Russia,4,,,3.0,,,,,,,1.0,,
Infantry Mobility Vehicles,GAZ Tigr,,Russia,6,1.0,,2.0,,,,,,,3.0,,
Infantry Mobility Vehicles,GAZ Tigr-M,,Russia,74,,,27.0,,,1.0,3.0,1.0,,42.0,,
Infantry Mobility Vehicles,GAZ Tigr-M,with Arbalet-DM turret,Russia,6,,,1.0,,,,,,,5.0,,
Infantry Mobility Vehicles,Iveco LMV 'Rys',,Italy,23,1.0,,2.0,,,1.0,,1.0,,18.0,,
Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,5,,,3.0,,,,,,,2.0,,
Command Posts And Communications Stations,BMD-1KSh-A command vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,
Command Posts And Communications Stations,BTR-60PU-12M air defence command vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-145BM1 command vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,R-149MA1 command and staff vehicle,,Russia,26,2.0,,12.0,,,,1.0,,,11.0,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,,Russia,10,,,4.0,,,,,2.0,,4.0,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,with RP-337VM1 jammer,Russia,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,with RP-377VM1 jammer,Russia,1,,,1.0,,,,,,,,,
Command Posts And Communications Stations,APE-5 command post,,Russia,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,9S470M1 (or variant thereof) command post (for Buk-M1/2),,Russia,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,MP-2IM signals vehicle,,Russia,1,1.0,,,,,,,,,,,
Command Posts And Communications Stations,Barnaul-T 9С932-1 automated system for air defence units,,Russia,5,1.0,,4.0,,,,,,,,,
Command Posts And Communications Stations,"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",,Russia,1,1.0,,,,,,,,,,,
Command Posts And Communications Stations,R-149AKSh-1 command and signals vehicle,,Russia,3,,,,,,,,,,3.0,,
Command Posts And Communications Stations,R-166-0.5 signals vehicle,,Russia,13,1.0,,4.0,,,,,1.0,,7.0,,
Command Posts And Communications Stations,R-419L1 communications station,,Russia,1,1.0,,,,,,,,,,,
Command Posts And Communications Stations,P-260-U signal vehicle (for Redut-2US signal and communications system),,Russia,1,,,,1.0,,,,,,,,
Command Posts And Communications Stations,Unknown communications station based on the KamAZ 6x6,,Russia,1,,,,,,,,1.0,,,,
Command Posts And Communications Stations,Unknown communications station,,Russia,1,,,,,,,,,,,1.0,
Engineering Vehicles And Equipment,UR-67 mine clearing charge on BTR-D APC,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,UR-77 'Meteorit'  mine clearing vehicle,,the Soviet Union,13,2.0,,7.0,,,,,,,4.0,,
Engineering Vehicles And Equipment,GMZ-3 minelayer,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,RKhM-6 Povozka,,Russia,2,,,,,,,,,,2.0,,
Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,4,,,2.0,,,,,,,2.0,,
Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BTS-4A armoured recovery vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,9,2.0,,7.0,,,,,,,,,
Engineering Vehicles And Equipment,BREM-2 armoured recovery vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BREM-Ch ''BREM-4'' armoured recovery vehicle,,the Czech Republic,5,1.0,,1.0,,,,,,,3.0,,
Engineering Vehicles And Equipment,BREM-K armoured recovery vehicle,,Russia,2,,,2.0,,,,,,,,,
Engineering Vehicles And Equipment,REM-KL armoured recovery vehicle,,Russia,3,,,1.0,,,,,,,2.0,,
Engineering Vehicles And Equipment,IMR-2(M) combat engineering vehicle,,the Soviet Union,9,2.0,1.0,5.0,,,,,,,1.0,,
Engineering Vehicles And Equipment,IMR-3M combat engineering vehicle,,Russia,1,,,,,,,,1.0,,,,
Engineering Vehicles And Equipment,PTS-3  tracked amphibious transport,,the Soviet Union,7,4.0,,1.0,,,,,,,2.0,,
Engineering Vehicles And Equipment,TMM-3 bridge layer,,the Soviet Union,23,2.0,,13.0,,,,1.0,3.0,,4.0,,
Engineering Vehicles And Equipment,MTU-72 bridge layer,,Russia,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,PMP floating bridge,,the Soviet Union,9,1.0,,2.0,,,,,,,6.0,,
Engineering Vehicles And Equipment,PP-2005 floating bridge,,Russia,9,2.0,,1.0,,,,1.0,,,5.0,,
Engineering Vehicles And Equipment,Pontoon bridge,,Russia,11,1.0,,4.0,,,,,,,6.0,,
Engineering Vehicles And Equipment,BMK-130M/BMK-150 towing and motor boat,,the Soviet Union,4,3.0,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BMK-460 towing and motor boat,,the Soviet Union,3,2.0,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,KamAZ-5350 with EOV-3523 excavator,,Russia,6,,,4.0,,,,,,,1.0,1.0,
Engineering Vehicles And Equipment,KamAZ-5350 with KS-45719-7M crane,,Russia,4,,,1.0,,,,,,,3.0,,
Engineering Vehicles And Equipment,KamAZ-5350 with crane,,Russia,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,KrAZ-255B with excavator,,the Soviet Union,2,,,1.0,,,,,,,1.0,,
Engineering Vehicles And Equipment,Ural-4320 with excavator,,Russia,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,Ural-4320 KET-L,,Russia,1,,,,,,,,1.0,,,,
Engineering Vehicles And Equipment,Ural-4320 KT-L,,Russia,3,,,2.0,,,,,,,1.0,,
Engineering Vehicles And Equipment,Ural-4320 recovery vehicle,,Russia,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,Ural-4320 with crane,,Russia,2,,,1.0,,,,,,,1.0,,
Self-Propelled Anti-Tank Missile Systems,9P148 Konkurs,,the Soviet Union,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Tank Missile Systems,9P149 Shturm-S,,the Soviet Union,12,3.0,,5.0,,,,,,,4.0,,
Self-Propelled Anti-Tank Missile Systems,9P163M-1 Kornet-T,,Russia,1,,,,,,,,,,1.0,,
Heavy Mortars,120mm 2B11/2S12,,the Soviet Union,12,,,7.0,,,,,,,5.0,,
Heavy Mortars,120mm 2B11/2S12A,,Russia,1,,,1.0,,,,,,,,,
Towed Artillery,100mm MT-12 anti-tank gun,,the Soviet Union,2,,,1.0,,,,,,,1.0,,
Towed Artillery,120mm 2B16 Nona-K howitzer,,the Soviet Union,7,3.0,,3.0,,,,,1.0,,,,
Towed Artillery,122mm D-30 howitzer 2A18,,the Soviet Union,27,2.0,,24.0,,,,,,,1.0,,
Towed Artillery,152mm 2A65 Msta-B howitzer,,the Soviet Union,25,1.0,,9.0,,,2.0,,,1.0,8.0,3.0,
Self-Propelled Artillery,120mm 2S9 Nona,,the Soviet Union,8,1.0,,4.0,,,,,,,3.0,,
Self-Propelled Artillery,120mm 2S23 Nona-SVK,,Russia,1,,,1.0,,,,,,,,,
Self-Propelled Artillery,120mm 2S34 Khosta,,Russia,2,,,2.0,,,,,,,,,
Self-Propelled Artillery,122mm 2S1 Gvozdika,,the Soviet Union,13,1.0,,3.0,,,,,,,9.0,,
Self-Propelled Artillery,152mm 2S3 Akatsiya,,the Soviet Union,36,6.0,,10.0,,,1.0,,,,19.0,,
Self-Propelled Artillery,152mm 2S19 Msta-S,,the Soviet Union,52,8.0,3.0,21.0,,,,1.0,,,19.0,,
Self-Propelled Artillery,152mm 2S33 Msta-SM2,,Russia,3,,,3.0,,,,,,,,,
Self-Propelled Artillery,Unknown SPG,,Russia,1,,,,,,1.0,,,,,,
Multiple Rocket Launchers,122mm BM-21 Grad,,the Soviet Union,45,3.0,1.0,18.0,,,,,4.0,,19.0,,
Multiple Rocket Launchers,220mm BM-27 Uragan,,the Soviet Union,11,,,2.0,2.0,,,,,,6.0,1.0,
Multiple Rocket Launchers,122mm 2B17 Tornado-G,,Russia,5,,,2.0,,,,,,,3.0,,
Multiple Rocket Launchers,220mm TOS-1A,,Russia,6,,,3.0,,,1.0,,2.0,,,,
Anti-Aircraft Guns,23mm ZU-23,,the Soviet Union,6,,,4.0,,,,,,,,2.0,
Self-Propelled Anti-Aircraft Guns,BTR-ZD 'Skrezhet',,the Soviet Union,3,,,2.0,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,ZSU-23-4 'Shilka',,the Soviet Union,4,,,3.0,,,,,1.0,,,,
Self-Propelled Anti-Aircraft Guns,2K22M1 Tunguska,,Russia,8,1.0,5.0,,,,,1.0,1.0,,,,
Surface-To-Air Missile Systems,9K33 Osa,,the Soviet Union,6,1.0,,2.0,,,,1.0,,,2.0,,
Surface-To-Air Missile Systems,9K35 Strela-10,,the Soviet Union,13,3.0,,4.0,,,,,,,5.0,1.0,
Surface-To-Air Missile Systems,9A310M1-2 TELAR (for Buk-M1-2),,Russia,3,,,,,,1.0,,,,1.0,1.0,
Surface-To-Air Missile Systems,9A39M1-2 TEL (for Buk-M1-2),,Russia,5,,,,,,,,,,4.0,1.0,
Surface-To-Air Missile Systems,9A317 TELAR (for Buk-M2),,Russia,6,,,1.0,,,,,,,1.0,4.0,
Surface-To-Air Missile Systems,9A316 TEL (for Buk-M2),,Russia,4,,,3.0,,,,,,,,1.0,
Surface-To-Air Missile Systems,Unknown Buk SAM system,,Russia,4,,,,,,,,,,4.0,,
Surface-To-Air Missile Systems,9A330 Tor TLAR (for 9K330 Tor),,the Soviet Union,8,1.0,,3.0,,,,1.0,3.0,,,,
Surface-To-Air Missile Systems,9A331 TLAR (for 9K331 Tor-M1),,Russia,4,,1.0,1.0,,,,,,,,2.0,
Surface-To-Air Missile Systems,9A331M TLAR (for 9K332 Tor-M2),,Russia,2,,,1.0,,,,,,,,1.0,
Surface-To-Air Missile Systems,Unknown Tor SAM system,,Russia,1,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,Pantsir-S1,,Russia,7,,1.0,2.0,,,,,1.0,,2.0,1.0,
Radars,9S36 (for Buk-M2),,Russia,2,,,1.0,,,,,,,1.0,,
Radars,9S18М1(-2) (for Buk-M2),,Russia,1,,,1.0,,,,,,,,,
Radars,9S18М1(-3) (for Buk-M3),,Russia,1,,,,,,,,,,1.0,,
Radars,PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10),,Russia,2,,,1.0,,,,,,,1.0,,
Radars,Fara ground surveillance radar,,Russia,1,,,1.0,,,,,,,,,
Radars,SNAR-10M1 battlefield surveillance radar,,Russia,1,,,1.0,,,,,,,,,
Radars,1L261 (for 1L260 Zoopark-1M counter-battery radar complex),,Russia,2,,,1.0,,,,,,,1.0,,
Jammers And Deception Systems,R-330BMV Borisoglebsk-2B,,Russia,4,,,1.0,,,1.0,,,,2.0,,
Jammers And Deception Systems,R-330ZH Zhitel,,Russia,2,,,,,,,,,,2.0,,
Jammers And Deception Systems,1L262E Rtut-BM,,Russia,1,,,,,,,,,,1.0,,
Jammers And Deception Systems,Torn(-MDM),,Russia,1,,,1.0,,,,,,,,,
Jammers And Deception Systems,1RL257 Krasukha-4 (command post),,Russia,1,,,1.0,,,,,,,,,
Aircraft,Su-25 close air support aircraft,,the Soviet Union,9,,,,,,1.0,,,,8.0,,
Aircraft,Su-30SM multirole aircraft,,Russia,5,,,,,,,,,,5.0,,
Aircraft,Su-35S multirole aircraft,,Russia,1,,,,,,,,,,1.0,,
Aircraft,Su-34 strike aircraft,,Russia,9,,,,,,,,,,9.0,,
Aircraft,An-26 transport aircraft,,the Soviet Union,1,,,,,,,,,,1.0,,
Aircraft,Unknown aircraft,,Russia,1,,,,,,,,,,1.0,,
Helicopters,Mi-8 transport helicopter,,Russia,12,,1.0,,,,,,,,8.0,3.0,
Helicopters,Mi-24P attack helicopter,,the Soviet Union,3,,,,,,,,,,3.0,,
Helicopters,Mi-35M attack helicopter,,Russia,3,,,,,,,,,,3.0,,
Helicopters,Unknown Mi-24/35 attack helicopter,,Russia,1,,,,,,1.0,,,,,,
Helicopters,Mi-28 attack helicopter,,Russia,5,,,,,,,,,,5.0,,
Helicopters,Ka-52 'Alligator' attack helicopter,,Russia,13,,2.0,,,,,,1.0,,8.0,2.0,
Helicopters,Unknown helicopter,,Russia,5,,,,,,,,,,,5.0,
Unmanned Aerial Vehicles,Forpost reconnaissance UAV,,Israel,1,,,,,,,,,,1.0,,
Unmanned Aerial Vehicles,Orion UCAV,,Russia,1,,,,,,,,,,1.0,,
Unmanned Aerial Vehicles,Orlan-10 reconnaissance UAV,,Russia,49,,,19.0,,,,,,,30.0,,
Unmanned Aerial Vehicles,Orlan-10 jamming UAV,,Russia,1,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,'Orlan-20' reconnaissance UAV,,Russia,2,,,1.0,,,,,,,1.0,,
Unmanned Aerial Vehicles,Orlan-30 reconnaissance UAV,,Russia,2,,,,,,,,,,2.0,,
Unmanned Aerial Vehicles,Eleron-3 reconnaissance UAV,,Russia,7,,,6.0,,,,,,,1.0,,
Unmanned Aerial Vehicles,Takhion reconnaissance UAV,,Russia,2,,,2.0,,,,,,,,,
Unmanned Aerial Vehicles,ZALA 421-16Е2 reconnaissance UAV,,Russia,3,,,1.0,,,,,,,2.0,,
Unmanned Aerial Vehicles,E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems),,Russia,1,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,"KBLA-IVT target drone (likely used as unmanned bait in order 
for Ukraine to reveal the location of air defence systems)",,Russia,1,,,,,,,,,,1.0,,
Naval Ships,Project 1164 Slava class guided missile cruiser 'Moskva',,the Soviet Union,1,,,,,,,,,,,,1.0
Naval Ships,Project 03160 Raptor class patrol boat,,Russia,5,,,,,,1.0,,,,,4.0,
Naval Ships,Project 1171 Tapir class landing ship 'Saratov (BDK-65)',,the Soviet Union,1,,,,,,,,,,1.0,,
Naval Ships,Project 775 Ropucha class landing ship,,Poland,1,,,,,,1.0,,,,,,
Naval Ships,Project 11770 Serna class landing craft,,Russia,1,,,,,,,,,,,1.0,
Logistics Trains,Fuel train,,Russia,2,,,,,,,,,,,2.0,
"Trucks, Vehicles and Jeeps",GAZ-66,,the Soviet Union,12,1.0,,5.0,1.0,,,,,,5.0,,
"Trucks, Vehicles and Jeeps",KrAZ-255B,,the Soviet Union,3,,,2.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",KrAZ-255B tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",ZiL-131,,the Soviet Union,7,2.0,,,,,,,1.0,,4.0,,
"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),,the Soviet Union,13,,,5.0,,,,,,,8.0,,
"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),,the Soviet Union,2,,,1.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",9T244 transloader (for 9A330/1 Tor),,Russia,2,,,,,,,,1.0,,1.0,,
"Trucks, Vehicles and Jeeps",GAZ-3308,,Russia,3,3.0,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",GAZ Sobol,,Russia,2,1.0,,,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",Ural-375D,,the Soviet Union,2,,,,,,,,,,2.0,,
"Trucks, Vehicles and Jeeps",Ural-4320,,Russia,157,14.0,,63.0,,,2.0,1.0,,,70.0,7.0,
"Trucks, Vehicles and Jeeps",Ural-4320 tanker,,Russia,62,1.0,,30.0,,,,,1.0,,30.0,,
"Trucks, Vehicles and Jeeps",Ural-43206,,Russia,44,2.0,,19.0,,,,2.0,,,21.0,,
"Trucks, Vehicles and Jeeps",Ural Federal,,Russia,13,3.0,,2.0,,,,,,,8.0,,
"Trucks, Vehicles and Jeeps",Ural-5323,,Russia,1,,,1.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-63704-0010 Tornado-U,,Russia,4,1.0,,3.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-542301 tank transporter,,Russia,2,1.0,,1.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",TZ-500 tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",KamAZ 4x4,,Russia,6,1.0,,3.0,,,,,,,2.0,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6,,Russia,202,16.0,,73.0,,,2.0,1.0,12.0,,93.0,5.0,
"Trucks, Vehicles and Jeeps",KamAZ 6x6,with ZU-23 AA gun,Russia,4,,,3.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6 tanker,,Russia,49,2.0,,22.0,,,1.0,,2.0,,22.0,,
"Trucks, Vehicles and Jeeps",KamAZ 8x8,,Russia,11,,,1.0,,,,,1.0,,9.0,,
"Trucks, Vehicles and Jeeps",KamAZ Avtozaks,,Russia,14,4.0,,2.0,,,,,,,8.0,,
"Trucks, Vehicles and Jeeps",KamAZ with armoured cabin,,Russia,6,2.0,,3.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",KamAZ-6350 8x8 artillery tractor,,Russia,5,,,,,,,,,2.0,1.0,2.0,
"Trucks, Vehicles and Jeeps",Civilian KamAZ 6x6 converted for military use,,Russia,3,,,2.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",UAZ-469,,the Soviet Union,5,1.0,,2.0,,,,,,,2.0,,
"Trucks, Vehicles and Jeeps",UAZ-452,,the Soviet Union,6,,,1.0,,,,,,,5.0,,
"Trucks, Vehicles and Jeeps",UAZ Patriot,,Russia,2,,,,,,,1.0,,,1.0,,
"Trucks, Vehicles and Jeeps",UAZ-23632,,Russia,3,,,3.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-23632-148-64 armed pickup truck,,Russia,2,,,,,,,,,,2.0,,
"Trucks, Vehicles and Jeeps",Armoured SUV,,Russia,1,,,,,,,,1.0,,,,
"Trucks, Vehicles and Jeeps",(Unknown) truck,,Russia,254,1.0,,10.0,1.0,,6.0,2.0,,,225.0,9.0,
"Trucks, Vehicles and Jeeps",(Unknown) vehicle,,Russia,56,2.0,,1.0,,,6.0,,,,47.0,,
